,BreedName,Count,Share
0,Unknown,69471,9.61
1,Yorkshire Terrier,40224,5.56
2,Shih Tzu,37108,5.13
3,Chihuahua,28086,3.89
4,Labrador Retriever,21852,3.02
5,Maltese,20858,2.89
6,Labrador Retriever Crossbreed,19334,2.67
7,American Pit Bull Mix / Pit Bull Mix,17271,2.39
8,Shih Tzu Crossbreed,14549,2.01
9,Pomeranian,13984,1.93
10,Poodle Crossbreed,13440,1.86
11,American Pit Bull Terrier/Pit Bull,13131,1.82
12,Havanese,12265,1.7
13,Chihuahua Crossbreed,11548,1.6
14,Golden Retriever,10890,1.51
15,French Bulldog,10839,1.5
16,Beagle,10178,1.41
17,German Shepherd Dog,10130,1.4
18,Goldendoodle,10115,1.4
19,Terrier mix,9493,1.31
20,Poodle,9167,1.27
21,Shiba Inu,8816,1.22
22,Cavalier King Charles Spaniel,8528,1.18
23,Jack Russell Terrier,8068,1.12
24,"Poodle, Toy",7671,1.06
25,Siberian Husky,7427,1.03
26,Yorkshire Terrier Crossbreed,7295,1.01
27,German Shepherd Crossbreed,7204,1.0
28,"Poodle, Miniature",7005,0.97
29,Maltese Crossbreed,6954,0.96
30,Australian Shepherd,6848,0.95
31,Cocker Spaniel,6710,0.93
32,Pug,6382,0.88
33,Labradoodle,6255,0.87
34,Boston Terrier,6189,0.86
35,Dachshund,5916,0.82
36,Morkie,5773,0.8
37,Bichon Frise,5666,0.78
38,Beagle Crossbreed,5664,0.78
39,Maltipoo,5324,0.74
40,Terrier Crossbreed,4521,0.63
41,Bichon Frise Crossbreed,4451,0.62
42,Boxer,4429,0.61
43,American Staffordshire Terrier,4267,0.59
44,Miniature Schnauzer,4071,0.56
45,"Schnauzer, Miniature",4064,0.56
46,Miniature Pinscher,4018,0.56
47,"Poodle, Standard",3905,0.54
48,"Bull Dog, English",3824,0.53
49,Puggle,3394,0.47
50,Cockapoo,3264,0.45
51,Dachshund Smooth Coat,2948,0.41
52,Lhasa Apso,2875,0.4
53,Miniature Australian Shepherd,2872,0.4
54,Rottweiler,2695,0.37
55,"Bull Dog, French",2614,0.36
56,Pekingese,2548,0.35
57,Dachshund Smooth Coat Miniature,2543,0.35
58,"Jindo Dog, Korea",2452,0.34
59,Pembroke Welsh Corgi,2431,0.34
60,Shepard Crossbreed,2384,0.33
61,Border Collie,2334,0.32
62,Dachshund Crossbreed,2263,0.31
63,Pomeranian Crossbreed,2245,0.31
64,Cairn Terrier,2199,0.3
65,Australian Cattledog,2197,0.3
66,American Bully,2161,0.3
67,"Dachshund, Long Haired Miniature",1993,0.28
68,"Welsh Corgi, Pembroke",1886,0.26
69,West High White Terrier,1805,0.25
70,Bernese Mountain Dog,1773,0.25
71,Wheaton Terrier,1753,0.24
72,Papillon,1750,0.24
73,Jack Russell Terrier Crossbreed,1740,0.24
74,Cocker Spaniel Crossbreed,1688,0.23
75,Siberian Husky Crossbreed,1671,0.23
76,Staffordshire Bull Terrier,1647,0.23
77,Rat Terrier,1631,0.23
78,Jindo,1615,0.22
79,Cavalier King Charles Spaniel Crossbreed,1561,0.22
80,Australian Cattle Dog,1548,0.21
81,American Eskimo dog,1486,0.21
82,Border Collie Crossbreed,1468,0.2
83,Italian Greyhound,1458,0.2
84,Boxer Crossbreed,1450,0.2
85,Doberman Pinscher,1430,0.2
86,Shetland Sheepdog,1416,0.2
87,Brussels Griffon,1371,0.19
88,Rhodesian Ridgeback,1265,0.17
89,Cane Corso,1247,0.17
90,West Highland White Terrier,1225,0.17
91,Pointer,1224,0.17
92,Great Pyrenees,1209,0.17
93,Bulldog,1198,0.17
94,Greyhound,1171,0.16
95,Vizsla,1170,0.16
96,Collie Crossbreed,1148,0.16
97,Pomsky,1147,0.16
98,Chow Chow,1129,0.16
99,Bull Terrier,1094,0.15
100,Silky Terrier,1086,0.15
101,Border Terrier,1044,0.14
102,Catahoula Leopard Dog,1010,0.14
103,"Dachshund, Long Haired",985,0.14
104,Tibetan Terrier,969,0.13
105,Schnauzer Crossbreed,926,0.13
106,"Shar-Pei, Chinese",897,0.12
107,"Collie, Border",890,0.12
108,Cotton De Tulear,881,0.12
109,Great Dane,867,0.12
110,Coton de Tulear,857,0.12
111,Whippet,837,0.12
112,"Schnauzer, Standard",828,0.11
113,Samoyed,821,0.11
114,Plott,819,0.11
115,Basenji,818,0.11
116,Pug Crossbreed,814,0.11
117,Portuguese Water Dog,798,0.11
118,Basset Hound,765,0.11
119,Wire Fox Terrier,756,0.1
120,Weimaraner,742,0.1
121,Scottish Terrier,719,0.1
122,Akita,692,0.1
123,Belgian Malinois,672,0.09
124,English Cocker Spaniel,657,0.09
125,Bernese Mountain Dog Crossbreed,655,0.09
126,"Coonhound, Black and Tan",636,0.09
127,Miniature American Shepherd,628,0.09
128,German Shorthaired Pointer,610,0.08
129,Bassett Hound,606,0.08
130,Soft Coated Wheaten Terrier,590,0.08
131,"Schnauzer, Miniature Crossbreed",585,0.08
132,Dalmatian,562,0.08
133,English Springer Spaniel,552,0.08
134,Old English Sheepdog,535,0.07
135,Rat Terrier Crossbreed,524,0.07
136,Norwich Terrier,509,0.07
137,Shiba Inu Crossbreed,493,0.07
138,"Bull Dog, American",486,0.07
139,Rottweiler Crossbreed,486,0.07
140,Alaskan Klee kai,479,0.07
141,"Coonhound, Treeing Walker",467,0.06
142,Anatolian Shepherd Dog,461,0.06
143,American Foxhound,455,0.06
144,"Welsh Corgi, Cardigan",438,0.06
145,Lagotto Romagnolo,438,0.06
146,Norfolk Terrier,437,0.06
147,Brittany Spaniel,422,0.06
148,Collie,422,0.06
149,Alaskan Malamute,416,0.06
150,Mastiff,396,0.05
151,Treeing Walker Coonhound,395,0.05
152,Newfoundland,387,0.05
153,Australian Shepherd Crossbreed,384,0.05
154,Cardigan Welsh Corgi,380,0.05
155,Basset Hound Crossbreed,377,0.05
156,"Dachshund, Wirehaired, Miniature",371,0.05
157,Airedale Terrier,361,0.05
158,Canaan Dog,346,0.05
159,"Dachshund, Wirehaired",337,0.05
160,Havanese Crossbreed,316,0.04
161,Redbone Coonhound,298,0.04
162,Chinese Crested,293,0.04
163,Japanese Chin,291,0.04
164,Tibetan Spaniel,287,0.04
165,Japanese Spitz,280,0.04
166,Dutch Shepherd,280,0.04
167,Irish Terrier,277,0.04
168,Toy Fox Terrier,275,0.04
169,Japanese Chin/Spaniel,272,0.04
170,Parson Russell Terrier,269,0.04
171,Chinese Shar-Pei,267,0.04
172,Bluetick Coonhound,261,0.04
173,"Pointer, German Shorthaired",253,0.03
174,Manchester Terrier,249,0.03
175,Black and Tan Coonhound,245,0.03
176,"Collie, Rough Coat",239,0.03
177,Hound Crossbreed,229,0.03
178,Flat-Coated Retriever,226,0.03
179,Irish Setter,224,0.03
180,Nova Scotia Duck Tolling Retriever,223,0.03
181,Golden Retriever Crossbreed,223,0.03
182,Welsh Terrier,212,0.03
183,Pembroke Welsh Corgi Crossbreed,208,0.03
184,Affenpinscher,202,0.03
185,Australian Kelpie,198,0.03
186,Corgi,198,0.03
187,Keeshond,192,0.03
