,BreedName,ZipCode,counts
0,Chihuahua,10001,200
1,Yorkshire Terrier,10002,408
2,Chihuahua,10003,312
3,French Bulldog,10004,43
4,French Bulldog,10005,100
5,Chihuahua,10006,48
6,Shih Tzu,10007,87
7,Poodle,10008,5
8,Yorkshire Terrier,10009,487
9,Yorkshire Terrier,10010,237
10,French Bulldog,10011,519
11,Labrador Retriever,10012,254
12,Labrador Retriever,10013,162
13,Labrador Retriever,10014,361
14,French Bulldog,10015,1
15,Yorkshire Terrier,10016,358
16,Chihuahua,10017,162
17,Yorkshire Terrier,10018,101
18,Chihuahua,10019,474
19,Havanese,10020,6
20,Havanese,10021,391
21,Yorkshire Terrier,10022,254
22,Labrador Retriever,10023,612
23,Labrador Retriever,10024,649
24,Labrador Retriever,10025,789
25,Yorkshire Terrier,10026,179
26,Chihuahua,10027,243
27,Havanese,10028,405
28,Yorkshire Terrier,10029,754
29,Yorkshire Terrier,10030,160
30,Chihuahua,10031,226
31,Yorkshire Terrier,10032,289
32,Yorkshire Terrier,10033,327
33,Yorkshire Terrier,10034,215
34,Shih Tzu,10035,210
35,Chihuahua,10036,309
36,Yorkshire Terrier,10037,159
37,Chihuahua,10038,202
38,Yorkshire Terrier,10039,174
39,Yorkshire Terrier,10040,197
40,Pomeranian,10041,2
41,Yorkshire Terrier,10044,54
42,French Bulldog,10045,1
43,Shih Tzu,10046,1
44,American Staffordshire Terrier,10048,2
45,Morkie,10050,1
46,Maltipoo,10055,1
47,Labrador Retriever,10065,266
48,Miniature American Shepherd,10067,1
49,Yorkshire Terrier,10068,1
50,Labrador Retriever,10069,81
51,Havanese,10075,224
52,Shih Tzu,10101,5
53,Poodle Crossbreed,10105,2
54,Australian Shepherd,10107,1
55,Border Terrier,10108,5
56,Terrier mix,10111,3
57,Golden Retriever Crossbreed,10112,2
58,Chihuahua Crossbreed,10113,3
59,Labrador Retriever Crossbreed,10115,1
60,Shih Tzu,10116,3
61,Dachshund Smooth Coat,10118,1
62,Yorkshire Terrier,10119,9
63,Australian Shepherd,10120,1
64,Cocker Spaniel Crossbreed,10123,5
65,Australian Shepherd,10125,2
66,Cavalier King Charles Spaniel,10126,2
67,Labrador Retriever,10128,531
68,Brittany Spaniel,10129,5
69,Golden Retriever,10150,11
70,"Poodle, Miniature",10151,3
71,Labrador Retriever,10155,4
72,Chihuahua,10156,5
73,Shih Tzu,10159,10
74,Havanese,10162,19
75,Beagle,10163,6
76,Labrador Retriever,10165,2
77,Poodle Crossbreed,10168,2
78,Lhasa Apso,10169,1
79,Chihuahua,10175,1
80,French Bulldog,10176,1
81,"Welsh Corgi, Cardigan",10179,2
82,Jack Russell Terrier,10185,7
83,Pomeranian,10216,2
84,Terrier Crossbreed,10217,1
85,Golden Retriever,10244,1
86,Poodle,10247,1
87,Yorkshire Terrier,10262,1
88,Boston Terrier,10268,1
89,Shih Tzu Crossbreed,10272,7
90,Shih Tzu,10275,1
91,Havanese,10276,3
92,Labrador Retriever,10280,100
93,Maltese,10281,6
94,French Bulldog,10282,53
95,Poodle Crossbreed,10283,1
96,Poodle,10295,1
97,Labrador Retriever,10301,224
98,Yorkshire Terrier,10302,116
99,Yorkshire Terrier,10303,183
100,Yorkshire Terrier,10304,343
101,Shih Tzu,10305,334
102,Shih Tzu,10306,588
103,Yorkshire Terrier,10307,106
104,Shih Tzu,10308,322
105,Shih Tzu,10309,411
106,Yorkshire Terrier,10310,183
107,Shih Tzu,10312,767
108,Beagle,10313,6
109,Shih Tzu,10314,717
110,Maltese,10315,2
